year,data,median,LB,UB
1,14.165,13.165,13.165,13.165
2,14.315,11.5134040734024,8.92009417928919,14.1112310115835
3,14.493,12.5452776099289,10.1202295168335,15.0589405304793
4,14.867,13.3934172246155,10.9248864092703,15.8900618879359
5,15.259,14.1529217008533,11.6564956198475,16.5028164946394
6,15.485,14.7388794685492,12.4056429007037,17.1824422987194
7,15.679,15.2926218692595,12.8725897548462,17.8474638111556
8,15.71,15.7459987727891,13.3267043451388,18.1132477493319
9,15.901,16.1549943622186,13.822174418115,18.5443087071416
10,15.922,16.4749320689526,14.0784588598291,18.881283259985
11,15.997,16.7787479820281,14.4780033086548,19.2253746229646
12,16.016,17.0259543201483,14.6350344353208,19.4222035803723
13,16.234,17.2405539167577,14.8703994378744,19.6556881648732
14,16.394,17.4711786583018,15.0416576822504,19.8680520588898
15,16.586,17.630685581288,15.1879166933578,20.0477064723208
16,16.547,17.7262524136822,15.3291031047821,20.1603744763197
17,16.535,17.8465542852435,15.4264541210161,20.156217964061
18,16.611,17.9254111689922,15.5138296336824,20.3181650114407
19,16.705,17.9851595688286,15.5214573796262,20.4084647865838
20,16.912,18.0322340721595,15.6821729116196,20.4269211464012
21,17.105,18.0249468684176,15.6223880100442,20.4053384118369
22,17.367,18.0443395002327,15.6731634356068,20.4679241662844
23,17.398,18.0551415122464,15.6873935312134,20.3811354291393
24,17.504,17.9863990703197,15.6169628455955,20.299071056359
25,17.494,18.0012326100529,15.5959495688596,20.3471593676149
26,17.468,17.9074358857201,15.5019867327026,20.2738747458713
27,17.477,17.8709450303041,15.4590895702437,20.2089185218219
28,17.522,17.7758311230158,15.3964225770903,20.1645348280459
29,17.394,17.6676244787608,15.3233456603279,20.102993792835
30,17.434,17.5797129312112,15.1753721956928,19.9518103212245
31,17.401,17.4520619177293,15.099161779849,19.8544615732141
32,17.353,17.3645899982093,14.9783884549687,19.7270428950738
33,17.268,17.1764712971466,14.8279576582049,19.5878054920041
34,17.35,17.1010703494831,14.7150943265851,19.4878465916384
35,17.464,16.9577473493903,14.4960641545023,19.3932683833848
36,17.589,16.7791959681919,14.4166330287575,19.103094020591
37,17.628,16.6540725908452,14.3011029812405,19.0655851312354
38,17.658,16.4984896423251,14.2062929141972,18.8013956880505
39,17.535,16.2938554409182,13.8957335604219,18.6852233165096
40,17.545,16.130110765729,13.7314141301736,18.4430970492015
41,17.659,15.9825010806282,13.5884312125396,18.4012001327304
42,17.522,15.8324773012383,13.4468811551773,18.1808904914451
43,17.369,15.6498539419064,13.2839859713125,17.9314049168408
44,17.237,15.4442298216129,13.065823861344,17.7593905079389
45,17.071,15.2822643930346,12.8311550213469,17.607868081878
46,16.766,15.0896835384693,12.7822493997657,17.5326948419425
47,16.527,14.941546048397,12.5855783942944,17.2807619524537
48,16.215,14.7611979386098,12.3903512780663,17.0863978606858
49,15.92,14.5468661443748,12.1858713812389,16.9179089490095
50,15.644,14.3691309147648,12.0642020577618,16.6238263885499
51,15.315,14.1742304022873,11.8880024891314,16.4955683089365
52,14.889,14.0040242587096,11.5732890437452,16.4005147346946
53,14.387,13.7965485504239,11.5076314864307,16.2420893692334
54,14.025,13.6290938035863,11.273849136102,16.0557533098242
55,13.698,13.4386217954477,11.0699882757201,15.7762672593998
56,13.218,13.2637626552952,10.9147338203735,15.6292090409836
57,12.79,13.0851462823601,10.6851258331295,15.3752263358255
58,12.381,12.9013944290858,10.5337876738446,15.2957348165982
59,11.948,12.7106219558588,10.3286982904342,15.0970915252379
60,11.535,12.5206406071376,10.1538414575027,14.8689836189242
61,11.163,12.3573586916355,9.93753031752549,14.783872898223
62,10.857,12.1826524292195,9.7912519753526,14.5656996654024
63,10.614,12.0316441979751,9.66038421281929,14.4142962048812
64,10.366,11.841987734734,9.46320293996885,14.1546708922111
65,10.172,11.6933350119296,9.30402785598824,14.0425523956114
66,9.993,11.4795817824505,9.07875163869411,13.910507696575
67,9.73,11.3359829691836,8.86351888432224,13.759361277544
68,9.521,11.1577254977202,8.75775628017072,13.6291103781466
69,9.287,11.0054454807873,8.63861471097187,13.4956738652167
70,8.968,10.8276150460054,8.41112589413999,13.2732406591718
71,NaN,10.6538267331395,8.22387778680149,13.0591467983745
72,NaN,10.5152718439992,8.09256246633525,12.8787877967688
73,NaN,10.3881818670059,7.98909684019316,12.7899826743398
74,NaN,10.1967016720972,7.80550278360531,12.6124351468076
75,NaN,10.0793058182442,7.73421326608763,12.4190700565766
76,NaN,9.91828408843284,7.44694134062716,12.3029492444592
77,NaN,9.78527669121462,7.35973046082255,12.2125792262141
78,NaN,9.61993841372411,7.19958903757593,12.0197005046167
79,NaN,9.49259064864795,7.07017393520227,11.9304902919383
80,NaN,9.31883690125393,6.90153191663445,11.8014299540629
81,NaN,9.21719871860013,6.76624966917482,11.7248903714068
82,NaN,8.99527967460132,6.55882721313621,11.4753259698018
